pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2026/3/1,Exploring Online Help-Seeking Tendencies: The Influence of Experience Type and Helper Identity,MIS Quarterly,,,26-exploring-1,,,2026
2026/5/1,Forced Ranking Systems and Gender Gap in Job Tenure,Management Science,,,26-forced-2,,,2026
2026/3/4,The Role of Opinion Leaders in Crowd Wisdom: An Information Cascade Perspective,Production and Operations Management,,,26-the-3,,,2026
2025/2/11,Gender Disparities in the Impact of Generative Artificial Intelligence: Evidence from Academia,PNAS Nexus,,,25-gender-1,,,2025
2025/1/18,The Time-Healing Effects: A Multi-Method Study on How Time Affects Consumers_ Attitude Change Following the Occurrence of Brand Scandals.,Journal of Business Research,,,25-the-2,,,2025
2025/5/31,Cutting or Offsetting Emissions: How Political Ideology Shapes Consumer Preferences for Firms_ Carbon Emission Mitigation Strategies,Journal of Business Research,,,25-cutting-3,,,2025
2024/2/6,Sizzle or Fizzle? Supply and Consumption Dynamics of Home-Cooked Food on Sharing Platforms,Production and Operations Management,,,24-sizzle-1,,,2024
2024/4/4,Loss Framing Increases Entity Theorists_ Vaccine Uptake,International Journal of Research in Marketing,,,24-loss-2,,,2024
2023/10/11,Racial Discrimination and Anti-Discrimination: The COVID-19 Pandemic__ Impact on Chinese Restaurants in North America,Information Systems Research,,,24-racial-3,,,2024
2024/3/23,Service Experience and Customers_ eWOM Behavior on Social Media Platforms: The Role of Platform Symmetry,International Journal of Hospitality Management,,,24-service-4,,,2024
2023/10/17,As Good as New: Embarrassment and Consumers_ Preference for Used versus New Products,Journal of International Consumer Marketing,,,24-as-5,,,2024
2021/9/17,Sizes are Gendered: The Effect of Semantic Size on Brand Stereotyping,Journal of Consumer Research,,,22-sizes-1,,,2022
2022/12/23,Residential Mobility Boosts New Product Adoption,Psychology & Marketing,,,22-residential-2,,,2022
2021/7/26,"The Closer I am, The Safer I Feel: The 'Distance Proximity Effect' of COVID-19 Pandemic on Individuals_ Risk Assessment and Irrational Consumption",Psychology & Marketing,,,21-the-1,,,2021
2021/7/2,Lift the Veil of Rumors: the Impact of the Characteristics of Information Source on the Effectiveness of Rumors Spreading,Internet Research,,,21-lift-2,,,2021
2021/8/12,The Shape of Loneliness: The Relationship between Loneliness and Preference for Angular versus Circular Logo and Product Shapes,Journal of Business Research,,,21-the-3,,,2021
2020/2/12,Does Everyone Have the Potential to Achieve Their Ideal Body Weight? Lay Theories About Body Weight and Support for Price Discrimination Policies,Organizational Behavior and Human Decision Processes,,,20-does-1,,,2020
2020/9/15,Is Sustainable Development Reasonable for Tourism Destinations? An Empirical Study of the Relationship Between Environmental Competitiveness and Tourism Growth,Sustainable Development,,,20-is-2,,,2020
2020/12/15,"Antecedents of Smartphone Multitasking: Roles of Demographics, Personalities and Motivations",Internet Research,,,20-antecedents-3,,,2020
